"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","x1_caseevery_x_ppl","x1_deathevery_x_ppl","x1_testevery_x_ppl","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"USA",4371500,55791,149845,447,2090129,28437,2131526,18986,13201,453,54203902,163689,"331,139,904","North America","76","2,210","6",0.0343,331002651,0.0059,1937734,36,9147420,954806,1.7764,38,0.828,0.042
"Brazil",2419901,23467,87052,556,1634274,16794,698575,8318,11379,409,4911063,23093,"212,665,350","South America","88","2,443","43",0.036,212559417,0.0072,1509890,25,8358140,21200,1.74,33,0.876,0.027
"India",1436019,50525,32812,716,918735,32500,484472,8944,1040,24,16291331,11797,"1,380,937,553","Asia","962","42,086","85",0.0228,1380004385,0.0099,13586631,464,2973190,-532687,2.2402,28,0.35,0.177
"Russia",812485,5765,13269,77,600250,3110,198966,2300,5567,91,26902291,184339,"145,939,049","Europe","180","10,998","5",0.0163,145934462,4e-04,62206,9,16376870,182456,1.8205,40,0.737,0.019
"South Africa",445433,11233,6769,114,265077,2023,173587,539,7504,114,2773778,46729,"59,359,094","Africa","133","8,769","21",0.0152,59308690,0.0128,750420,49,1213090,145405,2.4139,28,0.667,0.008
"Mexico",385036,6751,43374,729,247178,4486,94484,3922,2984,336,911853,7067,"129,025,472","North America","335","2,975","141",0.1126,128932753,0.0106,1357224,66,1943950,-60000,2.14,29,0.838,0.017
"Peru",379884,0,18030,0,263130,0,98724,1402,11511,546,2206105,66847,"33,002,511","South America","87","1,830","15",0.0475,32971854,0.0142,461401,26,1280000,99069,2.27,31,0.791,0.004
"Chile",345790,2198,9112,92,318095,1926,18583,1592,18078,476,1524533,79703,"19,127,587","South America","55","2,099","13",0.0264,19116201,0.0087,164163,26,743532,111708,1.65,35,0.848,0.002
"Spain",319501,0,28432,0,0,0,0,617,6833,608,6320836,135187,"46,756,106","Europe","146","1,644","7",0.089,46754778,4e-04,18002,94,498800,40000,1.33,45,0.803,0.006
"UK",299426,745,45752,14,0,0,0,104,4409,674,14794369,217848,"67,911,333","Europe","227","1,484","5",0.1528,67886011,0.0053,355839,281,241930,260650,1.75,40,0.832,0.009
"Iran",291172,2333,15700,216,253213,1894,22259,3695,3464,187,2327850,27691,"84,065,313","Asia","289","5,354","36",0.0539,83992949,0.013,1079043,52,1628550,-55000,2.15,32,0.755,0.011
"Pakistan",273113,1226,5822,35,237434,838,29857,1267,1235,26,1868180,8447,"221,166,730","Asia","810","37,988","118",0.0213,220892340,0.02,4327022,287,770880,-233379,3.55,23,0.351,0.028
"Saudi Arabia",266941,1968,2733,30,220323,2541,43885,2120,7660,78,3056956,87719,"34,849,613","Asia","131","12,751","11",0.0102,34813871,0.0159,545343,16,2149690,134979,2.34,32,0.84,0.004
"Colombia",248976,8181,8525,256,125037,5370,115414,1493,4890,167,1409124,27673,"50,919,972","South America","205","5,973","36",0.0342,50882891,0.0108,543448,46,1109500,204796,1.82,31,0.804,0.007
"Italy",246118,254,35107,5,198446,126,12565,44,4071,581,6560572,108520,"60,455,229","Europe","246","1,722","9",0.1426,60461826,-0.0015,-88249,206,294140,148943,1.33,47,0.695,0.008
"Turkey",226100,927,5613,17,209487,1010,11000,1249,2679,67,4572688,54178,"84,401,071","Asia","373","15,037","18",0.0248,84339067,0.0109,909452,110,769630,283922,2.08,32,0.757,0.011
"Bangladesh",223453,2275,2928,54,123882,1792,96643,1,1356,18,1111558,6745,"164,802,127","Asia","738","56,285","148",0.0131,164689383,0.0101,1643222,1265,130170,-369501,2.052,28,0.394,0.021
"Germany",206741,409,9203,1,190600,0,6938,237,2467,110,7418812,88527,"83,803,229","Europe","405","9,106","11",0.0445,83783942,0.0032,266897,240,348560,543822,1.586,46,0.763,0.011
"France",180528,0,30192,0,80815,0,69521,410,2765,462,2982302,45682,"65,283,977","Europe","362","2,162","22",0.1672,65273511,0.0022,143783,119,547557,36527,1.8523,42,0.815,0.008
"Argentina",162526,4192,2939,46,70518,2496,89069,955,3594,65,636844,14082,"45,224,432","South America","278","15,388","71",0.0181,45195774,0.0093,415097,17,2736690,4800,2.268,32,0.928,0.006
"Canada",113911,355,8890,5,99355,240,5666,2224,3016,235,3801950,100674,"37,765,087","North America","332","4,248","10",0.078,37742154,0.0089,331107,4,9093510,242032,1.525,41,0.813,0.005
"Iraq",110032,2459,4362,78,75217,1900,30453,433,2732,108,912698,22659,"40,278,833","Asia","366","9,234","44",0.0396,40222493,0.0232,912710,93,434320,7834,3.682,21,0.731,0.005
"Qatar",109305,269,165,1,106024,274,3116,89,38929,59,472442,168260,"2,807,805","Asia","26","17,017","6",0.0015,2881053,0.0173,48986,248,11610,40000,1.8805,32,0.962,0
"Indonesia",98778,1492,4781,67,56655,1301,37342,0,361,17,1381699,5048,"273,721,489","Asia","2,771","57,252","198",0.0484,273523615,0.0107,2898047,151,1811570,-98955,2.3195,30,0.564,0.035
"Egypt",92062,479,4606,48,33831,928,53625,41,899,45,135000,1318,"102,458,428","Africa","1,113","22,245","759",0.05,102334404,0.0194,1946331,103,995450,-38033,3.33,25,0.43,0.013
